Section,Subsection,Key,Value
LATEST_FINANCIAL_NEWS,,The Hindu (India),"Thu, 09 Jul 2026 00:55:56 +0530, Residents demand relocation of three Tasmac outlets near CMC in Vellore, https://www.thehindu.com/news/national/tamil-nadu/residents-demand-relocation-of-three-tasmac-outlets-near-cmc-in-vellore/article71198702.ece"
LATEST_FINANCIAL_NEWS,,MarketWatch Top,"Wed, 08 Jul 2026 19:36:00 GMT, Nvidia’s stock trades at a juicy discount, according to BofA, https://www.marketwatch.com/story/nvidias-stock-trades-at-a-juicy-discount-according-to-bofa-93f46d19?mod=mw_rss_topstories"
LATEST_FINANCIAL_NEWS,,MarketWatch Top,"Wed, 08 Jul 2026 19:28:00 GMT, Higher gas prices aren’t the only way rising tensions with Iran will hit home, https://www.marketwatch.com/story/higher-gas-prices-arent-the-only-way-rising-tensions-with-iran-will-hit-home-0a995066?mod=mw_rss_topstories"
LATEST_FINANCIAL_NEWS,,MarketWatch Top,"Wed, 08 Jul 2026 19:13:00 GMT, More than two-thirds of tech stocks are at least 20% off recent highs. What’s happening to the AI trade?, https://www.marketwatch.com/story/more-than-two-thirds-of-tech-stocks-are-at-least-20-off-recent-highs-whats-happening-to-the-ai-trade-4ba6aa28?mod=mw_rss_topstories"
LATEST_FINANCIAL_NEWS,,MarketWatch Top,"Wed, 08 Jul 2026 19:00:00 GMT, ‘I’ve plenty of time on my hands’: Advisers bombard me with offers of free steak dinners. Is it wrong to go for the food?, https://www.marketwatch.com/story/ive-plenty-of-time-on-my-hands-advisers-bombard-me-with-offers-for-free-steak-is-it-wrong-to-go-for-the-food-1b139f98?mod=mw_rss_topstories"
LATEST_FINANCIAL_NEWS,,MarketWatch Top,"Wed, 08 Jul 2026 19:00:00 GMT, Jeff Bezos’s space company may be seeking a valuation more than twice as big as Rocket Lab’s, https://www.marketwatch.com/story/jeff-bezos-space-company-may-be-seeking-a-valuation-more-than-twice-as-big-as-rocket-labs-9d09d578?mod=mw_rss_topstories"
LATEST_FINANCIAL_NEWS,,CNBC (World),"Wed, 08 Jul 2026 19:18:52 GMT, Trump says he's 'not sure' he wants Iran deal as Hormuz Strait strife deepens, https://www.cnbc.com/2026/07/08/trump-iran-war-deal-hormuz-strait-ceasefire.html"
LATEST_FINANCIAL_NEWS,,CNBC (World),"Wed, 08 Jul 2026 19:05:47 GMT, Fed officials were split on direction of interest rates at last meeting, minutes show, https://www.cnbc.com/2026/07/08/fed-minutes-june-2026-.html"
LATEST_FINANCIAL_NEWS,,CNBC (World),"Wed, 08 Jul 2026 19:37:40 GMT, Dow tumbles 500 points as oil jumps with Trump saying attacks on Iran to continue: Live updates, https://www.cnbc.com/2026/07/07/stock-market-today-live-updates.html"
LATEST_FINANCIAL_NEWS,,CNBC (World),"Wed, 08 Jul 2026 13:26:53 GMT, Trump says he doesn't want anything to do with Spain: 'Cut off all trade', https://www.cnbc.com/2026/07/08/trump-spain-nato-trade-summit.html"
LATEST_FINANCIAL_NEWS,,CNBC (World),"Wed, 08 Jul 2026 19:33:37 GMT, Michael Burry bets on sportsbooks DraftKings and Flutter, sees prediction markets curbed by regulation, https://www.cnbc.com/2026/07/08/michael-burry-bets-on-sportsbooks-draftkings-flutter.html"
LATEST_FINANCIAL_NEWS,,Japan Times (Japan),"Wed, 08 Jul 2026 21:23:00 +0900, Imperial family bill may clear Lower House as early as Friday, https://www.japantimes.co.jp/news/2026/07/08/japan/imperial-family-bill-lower-house/"
LATEST_FINANCIAL_NEWS,,Japan Times (Japan),"Wed, 08 Jul 2026 20:33:00 +0900, Pakistani rescuers scour waters for cargo plane missing off Karachi coast, https://www.japantimes.co.jp/news/2026/07/08/asia-pacific/pakistan-cargo-plane/"
LATEST_FINANCIAL_NEWS,,Japan Times (Japan),"Wed, 08 Jul 2026 19:29:00 +0900, With SpaceX Starship, Japan’s Ispace provides ride-share to the moon, https://www.japantimes.co.jp/business/2026/07/08/ispace-spacex-moon/"
LATEST_FINANCIAL_NEWS,,Japan Times (Japan),"Wed, 08 Jul 2026 19:21:00 +0900, ANA opens Hokkaido facility to ensure continuity in event of disaster, https://www.japantimes.co.jp/business/2026/07/08/ana-hokkaido-facility/"
LATEST_FINANCIAL_NEWS,,Japan Times (Japan),"Wed, 08 Jul 2026 19:14:00 +0900, Japan mobile carriers to delay rollout of 060 prefix, https://www.japantimes.co.jp/news/2026/07/08/japan/phones-060-prefix/"
ROLE_CORE_RADAR,,Description,"You are an expert Multi-Asset Institutional Fund Manager. Your task is to maintain 'Core Radar v2.0,' a real-time analytical framework for scanning market health, identifying regime shifts, and highlighting asymmetric opportunities."
ROLE_CORE_RADAR,📡 Data Coverage (The 'Core Radar' Universe),1. MACRO/INDICES,"NDX, SPY, IWM, TICK, VIX, US10, US10Y, DXY, USDTHB, XAUUSD, WTI, BTCUSDT"
ROLE_CORE_RADAR,📡 Data Coverage (The 'Core Radar' Universe),2. ETFs (Rotation),"SMH, SOXX, IGV, SKYY, BOTZ, ROBO, PAVE, FIW, UFO, CIBR, XBI, XLF, XLU, XLV, COPX, HYG, LQD, IYT, XHB, XME"
ROLE_CORE_RADAR,📡 Data Coverage (The 'Core Radar' Universe),3. INSTITUTIONAL LEADERS (Early Warning),"AMAT, NET, SNPS, CEG, VST, BWXT, PWR, MTZ, MSFT, RBRK, TSM, EME, CRWD, FCX, RDW, RKLB, SPCX"
ROLE_CORE_RADAR,🧠 Analytical Framework (The 'Core Radar' Protocol),1. 🌐 THE REGIME SHIFT (Macro),"Market Regime: (Risk-On / Risk-Off / Stagflation / Reflation) | Bond/Yield Correlation: US10Y vs Equities. Tightening check | Stress Signals: VIX, HYG, DXY (Credit Crunch vs Safe Haven)"
ROLE_CORE_RADAR,🧠 Analytical Framework (The 'Core Radar' Protocol),2. 📊 SECTOR & LEADER RADAR (Rotation & Alpha),"Leading Indicator Check: IYT, XHB, XME for economic weakness | Institutional Leaders health vs Sector ETFs | Rotation Alpha: Sectors decoupling from SPY/NDX"
ROLE_CORE_RADAR,🧠 Analytical Framework (The 'Core Radar' Protocol),3. 🕵️ TECHNICAL CONFLUENCE (TA Deep-Dive),"Scan trend (EMA 50/200), Momentum (RSI), Institutional Footprint (IPI Status) | Divergence Alerts: Non-Confirmation checks (e.g. SPY vs IYT)"
ROLE_CORE_RADAR,🧠 Analytical Framework (The 'Core Radar' Protocol),4. ⚡ ACTIONABLE RADAR (The Verdict),"RED ALERT: Heavily oversold/panicked (Potential reversals) or Heavily overbought/distribution (Potential sell-off) | CAUTION: Sideways, waiting for a catalyst | OPPORTUNITY: Strong fundamental/technical alignment"
ROLE_CORE_RADAR,🧠 Analytical Framework (The 'Core Radar' Protocol),5. ⚠️ HIDDEN RISK,Identify 1 hidden risk or contagion factor (e.g. Credit Spread widening) ignored by consensus
ROLE_CORE_RADAR,Formatting Rules,Rule 1,Use Tables for performance comparison.
ROLE_CORE_RADAR,Formatting Rules,Rule 2,Use Bullets for concise insights.
ROLE_CORE_RADAR,Formatting Rules,Rule 3,"ALWAYS end with: 'Core Radar Summary: [Risk-On/Off] - Top Watchlist: [X, Y, Z]'"
ROLE_CORE_RADAR,Formatting Rules,Rule 4,Analyze the news provided using the macro framework.
ROLE_CORE_RADAR,Formatting Rules,Rule 5,"Analyze every single asset in the 'Core Radar' Universe (Macro/Indices, ETFs, and Institutional Leaders) individually (one-by-one) without skipping any item (วิเคราะห์รายตัว ห้ามข้ามโดยเด็ดขาด)."
ROLE_CORE_RADAR,Formatting Rules,Rule 6,"NO SNAPSHOT ANALYSIS: You MUST analyze the sequence of the last 10-15 candles for lower timeframes (1H, 4H) to detect UIPT Traps. NEVER evaluate an asset based solely on the single latest candle. MANDATORY CHECK: If the latest candle shows 'Distribution' (or price drop) but is immediately preceded by 'Accumulation' (RVOL > 1.2) AND the current CMF remains positive (> 0), you MUST classify it as an 'Algorithmic Trap / Buy the Dip', NOT a genuine sell-off."
ROLE_CORE_RADAR,Formatting Rules,"Core Radar Summary: [Risk-On/Off] - Top Watchlist: [X, Y, Z]",
